Operators,Random E,Random E0,Recycled E,Recycled E0,Exact
2,-2.1660716637250568,-1.5975405879760798,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.6586952629095033,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.7649454430994478,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.811894256551866,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-1.6011039271327623,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250523,-1.875342678328838,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725053,-1.9819826461418237,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.8565951575292532,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.6927517195665418,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-1.9914430577587268,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-2.1442137005514192,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-2.084224195126313,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.5385697598252646,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725058,-2.1134084225384715,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-1.8536547343439647,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-1.5649374510746563,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-2.036869964020315,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.959123262217293,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-2.061827080173475,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250563,-1.6411685208515827,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.743965948425736,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-2.035466044201721,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.9415928370513003,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725056,-1.5661524776833973,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725056,-1.6888757310272282,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-2.164505811905642,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.9998679456133204,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.9358508253549889,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.4892502422975098,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.5070735339065098,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725058,-1.9561944353927938,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-2.072484392186318,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-2.138040576055125,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-2.158183163133715,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250563,-1.9988180021161845,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.9983804456055658,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
